2025-12-12 14:56:23 PKT STATEMENT:  SELECT id, email, name, image, "isPaid", "subscriptionStatus" FROM public_users WHERE id = '68da82ca-caec-5f9d-17be-a60b000000000000'
2025-12-12 14:59:35 PKT ERROR:  relation "public_users" does not exist at character 68
2025-12-12 14:59:35 PKT STATEMENT:  SELECT id, email, name, image, "isPaid", "subscriptionStatus" FROM public_users WHERE id = '68da82ca-caec-5f9d-17be-a60b000000000000'
2025-12-12 15:01:24 PKT ERROR:  relation "public_users" does not exist at character 68
2025-12-12 15:01:24 PKT STATEMENT:  SELECT id, email, name, image, "isPaid", "subscriptionStatus" FROM public_users WHERE id = '68da82ca-caec-5f9d-17be-a60b000000000000'
2025-12-12 15:04:35 PKT ERROR:  relation "public_users" does not exist at character 68
2025-12-12 15:04:35 PKT STATEMENT:  SELECT id, email, name, image, "isPaid", "subscriptionStatus" FROM public_users WHERE id = '68da82ca-caec-5f9d-17be-a60b000000000000'
2025-12-12 15:06:24 PKT ERROR:  relation "public_users" does not exist at character 68
2025-12-12 15:06:24 PKT STATEMENT:  SELECT id, email, name, image, "isPaid", "subscriptionStatus" FROM public_users WHERE id = '68da82ca-caec-5f9d-17be-a60b000000000000'
2025-12-12 15:09:33 PKT ERROR:  relation "public_users" does not exist at character 68
2025-12-12 15:09:33 PKT STATEMENT:  SELECT id, email, name, image, "isPaid", "subscriptionStatus" FROM public_users WHERE id = '68da82ca-caec-5f9d-17be-a60b000000000000'
2025-12-12 15:11:24 PKT ERROR:  relation "public_users" does not exist at character 68
2025-12-12 15:11:24 PKT STATEMENT:  SELECT id, email, name, image, "isPaid", "subscriptionStatus" FROM public_users WHERE id = '68da82ca-caec-5f9d-17be-a60b000000000000'
2025-12-12 15:14:33 PKT ERROR:  relation "public_users" does not exist at character 68
2025-12-12 15:14:33 PKT STATEMENT:  SELECT id, email, name, image, "isPaid", "subscriptionStatus" FROM public_users WHERE id = '68da82ca-caec-5f9d-17be-a60b000000000000'
2025-12-12 15:16:24 PKT ERROR:  relation "public_users" does not exist at character 68
2025-12-12 15:16:24 PKT STATEMENT:  SELECT id, email, name, image, "isPaid", "subscriptionStatus" FROM public_users WHERE id = '68da82ca-caec-5f9d-17be-a60b000000000000'
2025-12-12 15:19:33 PKT ERROR:  relation "public_users" does not exist at character 68
2025-12-12 15:19:33 PKT STATEMENT:  SELECT id, email, name, image, "isPaid", "subscriptionStatus" FROM public_users WHERE id = '68da82ca-caec-5f9d-17be-a60b000000000000'
2025-12-12 15:21:24 PKT ERROR:  relation "public_users" does not exist at character 68
2025-12-12 15:21:24 PKT STATEMENT:  SELECT id, email, name, image, "isPaid", "subscriptionStatus" FROM public_users WHERE id = '68da82ca-caec-5f9d-17be-a60b000000000000'
2025-12-12 15:24:33 PKT ERROR:  relation "public_users" does not exist at character 68
2025-12-12 15:24:33 PKT STATEMENT:  SELECT id, email, name, image, "isPaid", "subscriptionStatus" FROM public_users WHERE id = '68da82ca-caec-5f9d-17be-a60b000000000000'
2025-12-12 15:26:24 PKT ERROR:  relation "public_users" does not exist at character 68
2025-12-12 15:26:24 PKT STATEMENT:  SELECT id, email, name, image, "isPaid", "subscriptionStatus" FROM public_users WHERE id = '68da82ca-caec-5f9d-17be-a60b000000000000'
2025-12-12 15:30:18 PKT ERROR:  relation "public_users" does not exist at character 68
2025-12-12 15:30:18 PKT STATEMENT:  SELECT id, email, name, image, "isPaid", "subscriptionStatus" FROM public_users WHERE id = '68da82ca-caec-5f9d-17be-a60b000000000000'
2025-12-12 15:31:24 PKT ERROR:  relation "public_users" does not exist at character 68
2025-12-12 15:31:24 PKT STATEMENT:  SELECT id, email, name, image, "isPaid", "subscriptionStatus" FROM public_users WHERE id = '68da82ca-caec-5f9d-17be-a60b000000000000'
2025-12-12 15:31:33 PKT ERROR:  relation "public_users" does not exist at character 68
2025-12-12 15:31:33 PKT STATEMENT:  SELECT id, email, name, image, "isPaid", "subscriptionStatus" FROM public_users WHERE id = '68da82ca-caec-5f9d-17be-a60b000000000000'
2025-12-12 15:31:36 PKT ERROR:  relation "public.subscribers" does not exist at character 63
2025-12-12 15:31:36 PKT STATEMENT:  SELECT COUNT(*) FROM (SELECT "public"."subscribers"."id" FROM "public"."subscribers" WHERE "public"."subscribers"."isActive" = $1 OFFSET $2) AS "sub"
2025-12-12 15:31:36 PKT ERROR:  relation "public.bookings" does not exist at character 60
2025-12-12 15:31:36 PKT STATEMENT:  SELECT COUNT(*) FROM (SELECT "public"."bookings"."id" FROM "public"."bookings" WHERE ("public"."bookings"."date" >= $1 AND "public"."bookings"."date" < $2) OFFSET $3) AS "sub"
2025-12-12 15:31:36 PKT ERROR:  relation "public.bootcamps" does not exist at character 61
2025-12-12 15:31:36 PKT STATEMENT:  SELECT COUNT(*) FROM (SELECT "public"."bootcamps"."id" FROM "public"."bootcamps" WHERE "public"."bootcamps"."isActive" = $1 OFFSET $2) AS "sub"
2025-12-12 15:31:36 PKT ERROR:  relation "public.subscribers" does not exist at character 63
2025-12-12 15:31:36 PKT STATEMENT:  SELECT COUNT(*) FROM (SELECT "public"."subscribers"."id" FROM "public"."subscribers" WHERE "public"."subscribers"."isActive" = $1 OFFSET $2) AS "sub"
2025-12-12 15:31:36 PKT ERROR:  relation "public.bookings" does not exist at character 60
