2025-12-08 23:33:41 PKT STATEMENT:  INSERT INTO "public"."reviews" ("id","analystId","analystName","reviewerName","userId","reviewerId","userProfilePicture","rating","comment","reviewDate","status","createdAt","updatedAt","approvedAt","rejectedAt") VALUES ($1,$2,$3,$4,$5,$6,$7,$8,$9,$10,$11,$12,$13,$14,$15) RETURNING "public"."reviews"."id", "public"."reviews"."analystId", "public"."reviews"."analystName", "public"."reviews"."reviewerName", "public"."reviews"."userId", "public"."reviews"."reviewerId", "public"."reviews"."userProfilePicture", "public"."reviews"."rating", "public"."reviews"."comment", "public"."reviews"."reviewDate", "public"."reviews"."status", "public"."reviews"."createdAt", "public"."reviews"."updatedAt", "public"."reviews"."approvedAt", "public"."reviews"."rejectedAt"
2025-12-08 23:33:41 PKT ERROR:  insert or update on table "reviews" violates foreign key constraint "reviews_analystId_fkey"
2025-12-08 23:33:41 PKT DETAIL:  Key (analystId)=(2) is not present in table "team".
2025-12-08 23:33:41 PKT STATEMENT:  INSERT INTO "public"."reviews" ("id","analystId","analystName","reviewerName","userId","reviewerId","userProfilePicture","rating","comment","reviewDate","status","createdAt","updatedAt","approvedAt","rejectedAt") VALUES ($1,$2,$3,$4,$5,$6,$7,$8,$9,$10,$11,$12,$13,$14,$15) RETURNING "public"."reviews"."id", "public"."reviews"."analystId", "public"."reviews"."analystName", "public"."reviews"."reviewerName", "public"."reviews"."userId", "public"."reviews"."reviewerId", "public"."reviews"."userProfilePicture", "public"."reviews"."rating", "public"."reviews"."comment", "public"."reviews"."reviewDate", "public"."reviews"."status", "public"."reviews"."createdAt", "public"."reviews"."updatedAt", "public"."reviews"."approvedAt", "public"."reviews"."rejectedAt"
2025-12-08 23:33:41 PKT ERROR:  insert or update on table "reviews" violates foreign key constraint "reviews_analystId_fkey"
2025-12-08 23:33:41 PKT DETAIL:  Key (analystId)=(0) is not present in table "team".
2025-12-08 23:33:41 PKT STATEMENT:  INSERT INTO "public"."reviews" ("id","analystId","analystName","reviewerName","userId","reviewerId","userProfilePicture","rating","comment","reviewDate","status","createdAt","updatedAt","approvedAt","rejectedAt") VALUES ($1,$2,$3,$4,$5,$6,$7,$8,$9,$10,$11,$12,$13,$14,$15) RETURNING "public"."reviews"."id", "public"."reviews"."analystId", "public"."reviews"."analystName", "public"."reviews"."reviewerName", "public"."reviews"."userId", "public"."reviews"."reviewerId", "public"."reviews"."userProfilePicture", "public"."reviews"."rating", "public"."reviews"."comment", "public"."reviews"."reviewDate", "public"."reviews"."status", "public"."reviews"."createdAt", "public"."reviews"."updatedAt", "public"."reviews"."approvedAt", "public"."reviews"."rejectedAt"
2025-12-08 23:34:46 PKT LOG:  checkpoint starting: time
2025-12-08 23:34:49 PKT LOG:  checkpoint complete: wrote 24 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=2.514 s, sync=0.036 s, total=2.567 s; sync files=14, longest=0.009 s, average=0.003 s; distance=21 kB, estimate=4160 kB; lsn=0/5D5FE38, redo lsn=0/5D5FDE0
2025-12-08 23:39:46 PKT LOG:  checkpoint starting: time
2025-12-08 23:39:54 PKT LOG:  checkpoint complete: wrote 70 buffers (0.4%); 0 WAL file(s) added, 0 removed, 0 recycled; write=7.542 s, sync=0.065 s, total=7.622 s; sync files=44, longest=0.014 s, average=0.002 s; distance=102 kB, estimate=3754 kB; lsn=0/5D796F0, redo lsn=0/5D79660
2025-12-08 23:44:46 PKT LOG:  checkpoint starting: time
2025-12-08 23:44:49 PKT LOG:  checkpoint complete: wrote 35 buffers (0.2%); 0 WAL file(s) added, 0 removed, 0 recycled; write=3.747 s, sync=0.036 s, total=3.799 s; sync files=27, longest=0.007 s, average=0.002 s; distance=81 kB, estimate=3387 kB; lsn=0/5D8DB68, redo lsn=0/5D8DAD8
2025-12-08 23:52:57 PKT LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2025-12-08 23:52:57 PKT LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
